Jackson Invitational Mens 5000 Meters Orange Division (1000 + enrolment)
Sat Sep 21 2024
https://www.athletic.net/CrossCountry/meet/236877/results/947091
"<p>The Skyline boys cross country team had the unique privilege of running before most people even had their first sip of coffee at the Jackson Invitational. Let’s be honest, the early morning start was a challenge in itself—those bleary-eyed athletes were up and running before the sun had properly woken up. But once the gun went off, the team showed that Skyline doesn’t just wake up; they show up!</p><p>Despite the pre-dawn timing, the boys battled through the cool morning mist and still managed to snag 19th place out of 31 teams. Sure, the Highland-Milford kids were practically sprinting to breakfast with their first-place times, but Skyline held their own with some strong performances.</p><p>Leading the charge for Skyline was <span class=""athlete"">Bruno Cifaldi</span>, who zoomed across the finish line in <time>16:41.60</time>, faster than most of us could run to grab our morning coffee. Close behind, <span class=""athlete"">Kyle Krasan</span> wasn’t about to let Bruno have all the glory, finishing with a time of <time>16:55.97</time>—proving he can clock in under 17 minutes just in time to still feel sleepy.</p><p>Next up was <span class=""athlete"">Matthew Guikema</span>, crossing the line in <time>17:01.11</time> and no doubt thinking about the breakfast that awaited him. <span class=""athlete"">Oskar MacArthur</span>, one of Skyline’s younger speedsters, raced in with a time of <time>17:11.69</time>, followed closely by <span class=""athlete"">Enshu Kuan</span> at <time>17:12.62</time>. <span class=""athlete"">Jack Robichaud</span> came in just a bit after them at <time>17:14.63</time>, rounding out a solid pack of Skyline runners.</p><p>And let’s not forget <span class=""athlete"">Martin Gehrke</span>, who finished his morning jog in <time>17:28.69</time>—just fast enough to beat the early-bird special. <span class=""athlete"">Dylan Hanley</span>, determined to keep pace, came in at <time>17:55.80</time>, wrapping up a well-fought race for the Skyline crew.</p>"
Place,Team,Score
1,Chuck Block Timing,158
2,Livonia Churchill,172
3,Clarkston,179
4,Saline,204
5,Canton,237
6,East Kentwood,248
7,White Lake Lakeland,253
8,Traverse City Central,287
9,Highland-Milford,302
10,Macomb Dakota,333
11,Plymouth,351
12,Grandville,364
13,Howell,376
14,Troy,376
15,Rochester,383
16,Dexter,389
17,Salem,395
18,Utica,414
19,Romeo,438
20,Ann Arbor Skyline,466
21,Temperance Bedford,492
22,Kalamazoo Loy Norrix,520
23,Ann Arbor Pioneer,526
24,Woodhaven Brownstown,633
25,BC Lakeview,655
26,Royal Oak,674
27,Hartland,695
28,Fraser,722
29,Farmington,799
30,South Lyon East,868
31,Dearborn,900

Place,Grade,Name,Athlete Link,Time,Team,Team Link,Profile Pic
16.,11,Caleb Keller,https://www.athletic.net/athlete/21165491/cross-country,15:53.45,Traverse City Central,https://www.athletic.net/athlete/21165491/cross-country,21165491.jpg
17.,11,Harper Wesley,https://www.athletic.net/athlete/21221698/cross-country,15:55.56,Utica,https://www.athletic.net/athlete/21221698/cross-country,21221698.jpg
18.,12,Evan Nickoles,https://www.athletic.net/athlete/18124454/cross-country,15:56.07,East Kentwood,https://www.athletic.net/athlete/18124454/cross-country,18124454.jpg
19.,12,Lucas LaMilza,https://www.athletic.net/athlete/19864478/cross-country,15:56.21,Macomb Dakota,https://www.athletic.net/athlete/19864478/cross-country,19864478.jpg
20.,11,Steven Dusseau,https://www.athletic.net/athlete/21144448/cross-country,15:57.36,Canton,https://www.athletic.net/athlete/21144448/cross-country,21144448.jpg
21.,12,Malcolm Speigle,https://www.athletic.net/athlete/26123763/cross-country,15:58.78,Livonia Churchill,https://www.athletic.net/athlete/26123763/cross-country,26123763.jpg
22.,11,David Dubeck,https://www.athletic.net/athlete/18982745/cross-country,15:59.75,Clarkston,https://www.athletic.net/athlete/18982745/cross-country,18982745.jpg
23.,12,Collin McLaughlin,https://www.athletic.net/athlete/14155052/cross-country,16:00.96,Rochester,https://www.athletic.net/athlete/14155052/cross-country,14155052.jpg
24.,10,Jacob Szalay,https://www.athletic.net/athlete/23578358/cross-country,16:02.60,Saline,https://www.athletic.net/athlete/23578358/cross-country,23578358.jpg
25.,12,Clark Madden,https://www.athletic.net/athlete/18772183/cross-country,16:03.79,Canton,https://www.athletic.net/athlete/18772183/cross-country,18772183.jpg
26.,10,Cameron Varner,https://www.athletic.net/athlete/23573193/cross-country,16:06.47,Temperance Bedford,https://www.athletic.net/athlete/23573193/cross-country,23573193.jpg
27.,12,Luke Morehouse,https://www.athletic.net/athlete/21221688/cross-country,16:07.09,Utica,https://www.athletic.net/athlete/21221688/cross-country,21221688.jpg
28.,12,Lucas Wood,https://www.athletic.net/athlete/14154304/cross-country,16:07.13,Howell,https://www.athletic.net/athlete/14154304/cross-country,14154304.jpg
29.,11,Gavin Johns,https://www.athletic.net/athlete/22527412/cross-country,16:07.57,White Lake Lakeland,https://www.athletic.net/athlete/22527412/cross-country,22527412.jpg
30.,11,Lucas LaPointe,https://www.athletic.net/athlete/21138579/cross-country,16:08.92,Plymouth,https://www.athletic.net/athlete/21138579/cross-country,21138579.jpg
31.,11,Dylan Pascoe,https://www.athletic.net/athlete/21233443/cross-country,16:10.09,Rochester,https://www.athletic.net/athlete/21233443/cross-country,21233443.jpg
32.,11,Evan Owczarek,https://www.athletic.net/athlete/23677771/cross-country,16:13.30,Rochester,https://www.athletic.net/athlete/23677771/cross-country,23677771.jpg
33.,11,Theo Sacks-Thomas,https://www.athletic.net/athlete/21198061/cross-country,16:13.57,Ann Arbor Pioneer,https://www.athletic.net/athlete/21198061/cross-country,21198061.jpg
34.,10,Justin Johnson,https://www.athletic.net/athlete/20010247/cross-country,16:13.69,East Kentwood,https://www.athletic.net/athlete/20010247/cross-country,20010247.jpg
35.,12,Collin Eckermann,https://www.athletic.net/athlete/10630350/cross-country,16:14.29,Saline,https://www.athletic.net/athlete/10630350/cross-country,10630350.jpg
36.,11,Brennan LaRusso,https://www.athletic.net/athlete/21137579/cross-country,16:15.86,Saline,https://www.athletic.net/athlete/21137579/cross-country,21137579.jpg
37.,10,Jack Hanner,https://www.athletic.net/athlete/23576999/cross-country,16:16.02,Salem,https://www.athletic.net/athlete/23576999/cross-country,23576999.jpg
38.,11,Pierce Scheffler,https://www.athletic.net/athlete/12508642/cross-country,16:16.08,Woodhaven Brownstown,https://www.athletic.net/athlete/12508642/cross-country,12508642.jpg
39.,12,Ben Clark,https://www.athletic.net/athlete/18772185/cross-country,16:18.17,Canton,https://www.athletic.net/athlete/18772185/cross-country,18772185.jpg
40.,12,Ian Boss,https://www.athletic.net/athlete/21461064/cross-country,16:19.07,Traverse City Central,https://www.athletic.net/athlete/21461064/cross-country,21461064.jpg
41.,9,Wesley Rogan,https://www.athletic.net/athlete/26359896/cross-country,16:19.10,Saline,https://www.athletic.net/athlete/26359896/cross-country,26359896.jpg
42.,11,Bastien Beaubien,https://www.athletic.net/athlete/15933938/cross-country,16:20.08,Highland-Milford,https://www.athletic.net/athlete/15933938/cross-country,15933938.jpg
43.,10,John (Jack) Klein,https://www.athletic.net/athlete/18922009/cross-country,16:21.41,Saline,https://www.athletic.net/athlete/18922009/cross-country,18922009.jpg
44.,12,Caleb Snyder,https://www.athletic.net/athlete/15988508/cross-country,16:22.32,Dexter,https://www.athletic.net/athlete/15988508/cross-country,15988508.jpg
45.,12,Saman Meshinchi,https://www.athletic.net/athlete/19858836/cross-country,16:23.20,Saline,https://www.athletic.net/athlete/19858836/cross-country,19858836.jpg
46.,12,Benjamin Peura,https://www.athletic.net/athlete/18875656/cross-country,16:23.83,Farmington,https://www.athletic.net/athlete/18875656/cross-country,18875656.jpg
47.,10,Matii Tarekegn,https://www.athletic.net/athlete/23531560/cross-country,16:25.16,East Kentwood,https://www.athletic.net/athlete/23531560/cross-country,23531560.jpg
48.,12,Gavin Frandle,https://www.athletic.net/athlete/20087220/cross-country,16:26.05,Utica,https://www.athletic.net/athlete/20087220/cross-country,20087220.jpg
49.,12,Jacob Kosidlo,https://www.athletic.net/athlete/18823143/cross-country,16:27.03,White Lake Lakeland,https://www.athletic.net/athlete/18823143/cross-country,18823143.jpg
50.,11,James Brickel,https://www.athletic.net/athlete/15694990/cross-country,16:28.34,Romeo,https://www.athletic.net/athlete/15694990/cross-country,15694990.jpg
51.,11,Hudson Wojtkowicz,https://www.athletic.net/athlete/21216710/cross-country,16:29.30,Livonia Churchill,https://www.athletic.net/athlete/21216710/cross-country,21216710.jpg
52.,12,Michael Nivala,https://www.athletic.net/athlete/23577750/cross-country,16:29.46,White Lake Lakeland,https://www.athletic.net/athlete/23577750/cross-country,23577750.jpg
53.,11,Jack Steen,https://www.athletic.net/athlete/24348038/cross-country,16:30.78,Traverse City Central,https://www.athletic.net/athlete/24348038/cross-country,24348038.jpg
54.,11,Adrian Clarke,https://www.athletic.net/athlete/24827125/cross-country,16:33.00,Plymouth,https://www.athletic.net/athlete/24827125/cross-country,24827125.jpg
55.,11,Lance Edghill,https://www.athletic.net/athlete/20922822/cross-country,16:35.08,Fraser,https://www.athletic.net/athlete/20922822/cross-country,20922822.jpg
56.,11,Nicolas Morales - Sanchez,https://www.athletic.net/athlete/24796896/cross-country,16:35.87,Kalamazoo Loy Norrix,https://www.athletic.net/athlete/24796896/cross-country,24796896.jpg
57.,12,Jaxson Nowik,https://www.athletic.net/athlete/14039996/cross-country,16:36.29,Clarkston,https://www.athletic.net/athlete/14039996/cross-country,14039996.jpg
58.,12,Ayden McDonald,https://www.athletic.net/athlete/18823146/cross-country,16:36.96,White Lake Lakeland,https://www.athletic.net/athlete/18823146/cross-country,18823146.jpg
59.,12,Nolan Till,https://www.athletic.net/athlete/18793563/cross-country,16:37.10,Royal Oak,https://www.athletic.net/athlete/18793563/cross-country,18793563.jpg
60.,12,Matthew Verellen,https://www.athletic.net/athlete/18823138/cross-country,16:38.43,White Lake Lakeland,https://www.athletic.net/athlete/18823138/cross-country,18823138.jpg
61.,12,Drake Wallace,https://www.athletic.net/athlete/17378456/cross-country,16:38.94,Howell,https://www.athletic.net/athlete/17378456/cross-country,17378456.jpg
62.,9,Karson Lewis,https://www.athletic.net/athlete/18936026/cross-country,16:40.62,BC Lakeview,https://www.athletic.net/athlete/18936026/cross-country,18936026.jpg
63.,11,Bruno Cifaldi,https://www.athletic.net/athlete/21147176/cross-country,16:41.60,Ann Arbor Skyline,https://www.athletic.net/athlete/21147176/cross-country,21147176.jpg
64.,9,Todd Tobin,https://www.athletic.net/athlete/25721865/cross-country,16:41.68,Highland-Milford,https://www.athletic.net/athlete/25721865/cross-country,25721865.jpg
65.,11,Joseph Kaleto,https://www.athletic.net/athlete/21111631/cross-country,16:45.47,Macomb Dakota,https://www.athletic.net/athlete/21111631/cross-country,21111631.jpg
66.,12,Lawrence Cubitt,https://www.athletic.net/athlete/18831270/cross-country,16:46.96,Traverse City Central,https://www.athletic.net/athlete/18831270/cross-country,18831270.jpg
67.,12,Max Martin,https://www.athletic.net/athlete/18687802/cross-country,16:47.88,Salem,https://www.athletic.net/athlete/18687802/cross-country,18687802.jpg
68.,11,Andrew Scheloske,https://www.athletic.net/athlete/21111633/cross-country,16:48.49,Macomb Dakota,https://www.athletic.net/athlete/21111633/cross-country,21111633.jpg
69.,12,Ethan Morche,https://www.athletic.net/athlete/21216778/cross-country,16:49.08,Livonia Churchill,https://www.athletic.net/athlete/21216778/cross-country,21216778.jpg
70.,9,Cooper McNaughton,https://www.athletic.net/athlete/23714314/cross-country,16:49.12,Clarkston,https://www.athletic.net/athlete/23714314/cross-country,23714314.jpg
71.,12,Nicholas (Nick) Balla,https://www.athletic.net/athlete/15739526/cross-country,16:50.91,Temperance Bedford,https://www.athletic.net/athlete/15739526/cross-country,15739526.jpg
72.,12,Akshat Arora,https://www.athletic.net/athlete/18864149/cross-country,16:52.59,Troy,https://www.athletic.net/athlete/18864149/cross-country,18864149.jpg
73.,12,Teo Condevaux,https://www.athletic.net/athlete/18779734/cross-country,16:53.35,Livonia Churchill,https://www.athletic.net/athlete/18779734/cross-country,18779734.jpg
74.,11,Oliver Davis,https://www.athletic.net/athlete/21111628/cross-country,16:53.86,Macomb Dakota,https://www.athletic.net/athlete/21111628/cross-country,21111628.jpg
75.,11,Alex Vazquez,https://www.athletic.net/athlete/17382346/cross-country,16:53.91,Woodhaven Brownstown,https://www.athletic.net/athlete/17382346/cross-country,17382346.jpg
76.,12,Noah Redman,https://www.athletic.net/athlete/18318088/cross-country,16:54.73,Macomb Dakota,https://www.athletic.net/athlete/18318088/cross-country,18318088.jpg
77.,12,Kent Wilson,https://www.athletic.net/athlete/14081921/cross-country,16:55.23,Clarkston,https://www.athletic.net/athlete/14081921/cross-country,14081921.jpg
78.,12,Neil Oyer,https://www.athletic.net/athlete/18831277/cross-country,16:55.39,Traverse City Central,https://www.athletic.net/athlete/18831277/cross-country,18831277.jpg
79.,11,Luke Allen,https://www.athletic.net/athlete/24058324/cross-country,16:55.79,Romeo,https://www.athletic.net/athlete/24058324/cross-country,24058324.jpg
80.,11,Kyle Krasan,https://www.athletic.net/athlete/21245954/cross-country,16:55.97,Ann Arbor Skyline,https://www.athletic.net/athlete/21245954/cross-country,21245954.jpg
81.,11,Daniel Niehaus,https://www.athletic.net/athlete/22208762/cross-country,16:57.06,Plymouth,https://www.athletic.net/athlete/22208762/cross-country,22208762.jpg
82.,11,Owen Perry,https://www.athletic.net/athlete/22183697/cross-country,16:57.38,Romeo,https://www.athletic.net/athlete/22183697/cross-country,22183697.jpg
83.,12,Jack Tultz,https://www.athletic.net/athlete/14068577/cross-country,16:57.45,Clarkston,https://www.athletic.net/athlete/14068577/cross-country,14068577.jpg
84.,10,Coen Hill,https://www.athletic.net/athlete/21133037/cross-country,16:57.69,Dexter,https://www.athletic.net/athlete/21133037/cross-country,21133037.jpg
85.,11,Gannon Wheeler,https://www.athletic.net/athlete/21186909/cross-country,16:57.92,Highland-Milford,https://www.athletic.net/athlete/21186909/cross-country,21186909.jpg
86.,12,Sam King,https://www.athletic.net/athlete/14039987/cross-country,17:00.38,Clarkston,https://www.athletic.net/athlete/14039987/cross-country,14039987.jpg
87.,11,Jacob Giovannini,https://www.athletic.net/athlete/21111630/cross-country,17:00.54,Macomb Dakota,https://www.athletic.net/athlete/21111630/cross-country,21111630.jpg
88.,10,Carson Hlavin,https://www.athletic.net/athlete/21126312/cross-country,17:00.82,Romeo,https://www.athletic.net/athlete/21126312/cross-country,21126312.jpg
89.,10,Luke Byland,https://www.athletic.net/athlete/24348035/cross-country,17:00.88,Traverse City Central,https://www.athletic.net/athlete/24348035/cross-country,24348035.jpg
90.,10,Matthew Guikema,https://www.athletic.net/athlete/23349678/cross-country,17:01.11,Ann Arbor Skyline,https://www.athletic.net/athlete/23349678/cross-country,23349678.jpg
91.,10,Carlos Basulto,https://www.athletic.net/athlete/23578349/cross-country,17:01.48,Saline,https://www.athletic.net/athlete/23578349/cross-country,23578349.jpg
92.,11,John Niemenski,https://www.athletic.net/athlete/19109794/cross-country,17:01.48,Salem,https://www.athletic.net/athlete/19109794/cross-country,19109794.jpg
93.,12,Jordan Bunce,https://www.athletic.net/athlete/14023076/cross-country,17:02.46,Temperance Bedford,https://www.athletic.net/athlete/14023076/cross-country,14023076.jpg
94.,11,Braden Shiposh,https://www.athletic.net/athlete/15872256/cross-country,17:03.23,Hartland,https://www.athletic.net/athlete/15872256/cross-country,15872256.jpg
95.,11,Parker Szymczak,https://www.athletic.net/athlete/21104314/cross-country,17:06.08,Salem,https://www.athletic.net/athlete/21104314/cross-country,21104314.jpg
96.,12,Ryan Carrannanto,https://www.athletic.net/athlete/14224541/cross-country,17:06.91,Highland-Milford,https://www.athletic.net/athlete/14224541/cross-country,14224541.jpg
97.,12,Jacob Van Houten,https://www.athletic.net/athlete/18864178/cross-country,17:06.92,Troy,https://www.athletic.net/athlete/18864178/cross-country,18864178.jpg
98.,12,Landon Whitehead,https://www.athletic.net/athlete/24347705/cross-country,17:07.18,Dexter,https://www.athletic.net/athlete/24347705/cross-country,24347705.jpg
99.,10,Aaron Ebels,https://www.athletic.net/athlete/23551157/cross-country,17:07.32,Grandville,https://www.athletic.net/athlete/23551157/cross-country,23551157.jpg
100.,10,Jacob Cole,https://www.athletic.net/athlete/23578350/cross-country,17:08.34,Saline,https://www.athletic.net/athlete/23578350/cross-country,23578350.jpg
101.,11,Anthony Dubeck,https://www.athletic.net/athlete/20908697/cross-country,17:09.48,Clarkston,https://www.athletic.net/athlete/20908697/cross-country,20908697.jpg
102.,11,Isaac Clark,https://www.athletic.net/athlete/21227983/cross-country,17:10.83,Troy,https://www.athletic.net/athlete/21227983/cross-country,21227983.jpg
103.,12,Isaac Demetter,https://www.athletic.net/athlete/21417160/cross-country,17:10.94,Salem,https://www.athletic.net/athlete/21417160/cross-country,21417160.jpg
104.,11,Joey Light,https://www.athletic.net/athlete/21227995/cross-country,17:11.18,Troy,https://www.athletic.net/athlete/21227995/cross-country,21227995.jpg
105.,9,Oskar MacArthur,https://www.athletic.net/athlete/23349698/cross-country,17:11.69,Ann Arbor Skyline,https://www.athletic.net/athlete/23349698/cross-country,23349698.jpg
106.,10,Henry Witt,https://www.athletic.net/athlete/23627781/cross-country,17:11.97,Troy,https://www.athletic.net/athlete/23627781/cross-country,23627781.jpg
107.,10,Enshu Kuan,https://www.athletic.net/athlete/23687884/cross-country,17:12.62,Ann Arbor Skyline,https://www.athletic.net/athlete/23687884/cross-country,23687884.jpg
108.,12,Austin Xiao,https://www.athletic.net/athlete/18864181/cross-country,17:13.20,Troy,https://www.athletic.net/athlete/18864181/cross-country,18864181.jpg
109.,10,Tyler Bjorklund,https://www.athletic.net/athlete/23672948/cross-country,17:13.31,Livonia Churchill,https://www.athletic.net/athlete/23672948/cross-country,23672948.jpg
110.,10,Devin Lau,https://www.athletic.net/athlete/21501172/cross-country,17:13.51,Farmington,https://www.athletic.net/athlete/21501172/cross-country,21501172.jpg
111.,10,Vincent Jones,https://www.athletic.net/athlete/20296618/cross-country,17:13.64,Woodhaven Brownstown,https://www.athletic.net/athlete/20296618/cross-country,20296618.jpg
112.,11,Jaden Ding,https://www.athletic.net/athlete/21103026/cross-country,17:13.73,Salem,https://www.athletic.net/athlete/21103026/cross-country,21103026.jpg
113.,10,Austin Mercado,https://www.athletic.net/athlete/19109505/cross-country,17:13.74,Salem,https://www.athletic.net/athlete/19109505/cross-country,19109505.jpg
114.,12,Alex Rogers,https://www.athletic.net/athlete/21141715/cross-country,17:14.01,BC Lakeview,https://www.athletic.net/athlete/21141715/cross-country,21141715.jpg
115.,11,Hollis Mick,https://www.athletic.net/athlete/15852465/cross-country,17:14.18,Jackson,https://www.athletic.net/athlete/15852465/cross-country,15852465.jpg
116.,10,Keats Rosenbrock,https://www.athletic.net/athlete/18970454/cross-country,17:14.60,Royal Oak,https://www.athletic.net/athlete/18970454/cross-country,18970454.jpg
117.,12,Jack Robichaud,https://www.athletic.net/athlete/18820279/cross-country,17:14.63,Ann Arbor Skyline,https://www.athletic.net/athlete/18820279/cross-country,18820279.jpg
118.,12,Kenyon Brooks,https://www.athletic.net/athlete/15898066/cross-country,17:14.75,Grandville,https://www.athletic.net/athlete/15898066/cross-country,15898066.jpg
119.,11,Lucas Gizoni,https://www.athletic.net/athlete/13966918/cross-country,17:15.26,Romeo,https://www.athletic.net/athlete/13966918/cross-country,13966918.jpg
120.,11,Tobin Collins,https://www.athletic.net/athlete/21144451/cross-country,17:15.88,Canton,https://www.athletic.net/athlete/21144451/cross-country,21144451.jpg
121.,11,Quinn Davis,https://www.athletic.net/athlete/24269491/cross-country,17:16.55,Ann Arbor Pioneer,https://www.athletic.net/athlete/24269491/cross-country,24269491.jpg
122.,12,William Rosales,https://www.athletic.net/athlete/18800611/cross-country,17:16.63,Saline,https://www.athletic.net/athlete/18800611/cross-country,18800611.jpg
123.,10,David DeLand,https://www.athletic.net/athlete/17456103/cross-country,17:17.13,Howell,https://www.athletic.net/athlete/17456103/cross-country,17456103.jpg
124.,11,Max Frentner,https://www.athletic.net/athlete/21103027/cross-country,17:17.21,Salem,https://www.athletic.net/athlete/21103027/cross-country,21103027.jpg
125.,12,Neel Bangera,https://www.athletic.net/athlete/18773419/cross-country,17:17.54,Canton,https://www.athletic.net/athlete/18773419/cross-country,18773419.jpg
126.,9,Eli Demlow,https://www.athletic.net/athlete/22629462/cross-country,17:17.54,BC Lakeview,https://www.athletic.net/athlete/22629462/cross-country,22629462.jpg
127.,12,Gabriel Mahler,https://www.athletic.net/athlete/18823141/cross-country,17:17.84,White Lake Lakeland,https://www.athletic.net/athlete/18823141/cross-country,18823141.jpg
128.,11,Elijah Bernstein,https://www.athletic.net/athlete/17333156/cross-country,17:17.85,East Kentwood,https://www.athletic.net/athlete/17333156/cross-country,17333156.jpg
129.,12,Evan Kelly,https://www.athletic.net/athlete/18863162/cross-country,17:18.45,Highland-Milford,https://www.athletic.net/athlete/18863162/cross-country,18863162.jpg
130.,12,Jacob Mack,https://www.athletic.net/athlete/18838258/cross-country,17:19.27,South Lyon East,https://www.athletic.net/athlete/18838258/cross-country,18838258.jpg
131.,10,Brody Empson,https://www.athletic.net/athlete/23507819/cross-country,17:19.36,Romeo,https://www.athletic.net/athlete/23507819/cross-country,23507819.jpg
132.,12,Levi Clair,https://www.athletic.net/athlete/18838699/cross-country,17:19.47,Utica,https://www.athletic.net/athlete/18838699/cross-country,18838699.jpg
133.,10,Nicholas Yuan,https://www.athletic.net/athlete/21615273/cross-country,17:21.25,Ann Arbor Skyline,https://www.athletic.net/athlete/21615273/cross-country,21615273.jpg
134.,11,Jacob McDaniel,https://www.athletic.net/athlete/21185696/cross-country,17:21.53,Grandville,https://www.athletic.net/athlete/21185696/cross-country,21185696.jpg
135.,12,Jack Costa,https://www.athletic.net/athlete/12284209/cross-country,17:22.60,Hartland,https://www.athletic.net/athlete/12284209/cross-country,12284209.jpg
136.,11,Zeke Lafferty,https://www.athletic.net/athlete/21142917/cross-country,17:22.85,Ann Arbor Skyline,https://www.athletic.net/athlete/21142917/cross-country,21142917.jpg
137.,9,Nikhil Ball,https://www.athletic.net/athlete/19066366/cross-country,17:23.62,South Lyon East,https://www.athletic.net/athlete/19066366/cross-country,19066366.jpg
138.,10,Chase Mallory,https://www.athletic.net/athlete/23592970/cross-country,17:24.04,Macomb Dakota,https://www.athletic.net/athlete/23592970/cross-country,23592970.jpg
139.,9,James Gage,https://www.athletic.net/athlete/26359894/cross-country,17:24.39,Saline,https://www.athletic.net/athlete/26359894/cross-country,26359894.jpg
140.,10,Oscar Dunfee,https://www.athletic.net/athlete/18957476/cross-country,17:24.67,Kalamazoo Loy Norrix,https://www.athletic.net/athlete/18957476/cross-country,18957476.jpg
141.,9,Jackson Duval,https://www.athletic.net/athlete/18936010/cross-country,17:25.10,BC Lakeview,https://www.athletic.net/athlete/18936010/cross-country,18936010.jpg
142.,11,Christopher Baker,https://www.athletic.net/athlete/18957389/cross-country,17:25.33,Kalamazoo Loy Norrix,https://www.athletic.net/athlete/18957389/cross-country,18957389.jpg
143.,10,Logan Thomas,https://www.athletic.net/athlete/17324672/cross-country,17:25.78,Temperance Bedford,https://www.athletic.net/athlete/17324672/cross-country,17324672.jpg
